Word,Meaning
Acquisitive,eager and capable of making acquisitions 
Acquittal,a setting free from the charge of an offense or verdict
Acquitted,found innocent of a charge or accusation
Acrid,bitter and unpleasant in taste or smell
Acrimonious ,angry in tone; bitter
Acrimony,a sharp and bitter hatred
Acrobat,"an athlete who performs acts requiring skill, agility and coordination."
Acronym,a term created out of the first letters of a multi-word phrase
Acrophobia,an unusual dread of elevated places
Acropolis,a stronghold or sanctuary used for defensive and religious purposes in ancient Grecian cities
Across,from one side to another
Action,combat; battle
Activate,to trigger or start something
Activism,a strategy of undertaking direct action to achieve a social or political goal
Activist,a person who campaigns for some kind of social change
Activity,"something that people do, usually with a particular aim or goal in mind"
Actual,Real or concrete
Actuality,the state of existing; existence
Actuate,to trigger a movement or action
Acuity,"sharpness in relation to thought, vision, or hearing"
Acumen,experience or expertise in something
Acupuncture,a medical practice in which thin needles are inserted into specific points of the body as a way to relieve pain or treat disease
Acute,extremely pressing; critical
Acuteness,sharpness; insight
Ad hoc,made for a particular reason
Ad hominem,a statement made during an argument or debate that is a personal attack or insult against the other person and not their opinion/stance
Ad nauseam,refer to something has been done or repeated so often that it has become annoying
Adage,old saying that has come to be accepted as truth over time
Adamant,refusing to be persuaded; cannot change one's mind
Adamantine,unyielding; firm and unbreakable
Adapt,get used to something new or change to fit
Adaptable,able to change
Adaptation,an alteration that makes an animal or thing more suitable for a certain environment
Addend,a number added to another number
Addendum,something to be added; especially text added as an appendix or supplement to a document
Addict,someone that is obsessed with something to an extent where they suffer withdrawal without it
Addictive,something that is easy to be addicted to; easy to develop a reliance on
Additional,added or extra
Additionally,used in the place of ‘also’ or to introduce extra facts
Addle,to cause a person’s thoughts to become jumbled or confused
Addled,incapable of thinking in a clear manner
Address,a description of the location of a property
Adduce,to produce as support during a discussion or argument
Adduction,the act of bringing a body part usually an arm or leg inward to the middle part of the body
Adept,very good at doing something that is not easy
Adequacy,being satisfactory or acceptable
Adequacy,"the quality of being sufficient, adequate or able to meet the needs"
Adequate,enough; good enough
Adhere,conform to or follow rules exactly
Adherence,faithful support for a cause 
Adherent,"a material that sticks to other things or a person who supports a particular party, person, or set of ideas"
Adhesion,a substance’s ability to attach to another substance
Adhesive,sticky
Adieu,"a farewell, a goodbye; especially a fond farewell, or a lasting or permanent farewell"
Adjacent,"lying next to, close, or contiguous; neighboring"
Adjoining,next to or joined with something else
Adjourn ,to suspend or conclude an event
Adjudge,to view or determine something in a particular manner
Adjudicate ,to make a decision on an issue
Adjunct,"something that is joined or added to another thing, but not part of the whole"
Adjure,request or urge someone to do something
Adjust,to change something a little so that it fits or works better
Adjustment,a small change that improves something or makes it work better
Adjutant,A military officer that is an administrative assistant to a senior officer
Administer,to supply or give out something
Administer,"to give, handout, or dispense"
Administration,the process of running some sort of organization
Admirable,worthy of respect and admiration
Admiration,a sentiment of esteem and respect
Admire,to hold a thing or person in high esteem
Admissible,something that is allowed or considered appropriate
Admit,"to acknowledge that something is real, valid, or true"
Admittedly,certainly; definitely
Admonish,to scold; to warn strongly
Admonition,a warning or reprimand given with advice
Admonitory,conveying a warning
Ado,"trouble, difficulty, or complications"
Adobe,sundried bricks made of clay
Adolescence,the time period when a young person becomes a grownup
Adonis,a very handsome young man
Adopt,a legal process to take care of another’s biological child as your own
Adoptive,related to someone through adoption (becoming a parent or child of someone not by birth)
Adoptive,related through adoption
Adorable,charming and easy to love because it is so attractively cute
Adoration,"deep love, devotion, and respect"
Adore,"to idolize or worship something, or to love it very much"
Adorn,make more attractive or beautiful
Adornment,an ornament or decoration that adds attractiveness
Adrenaline,"a chemical produced by your adrenal glands that gives you a rush of energy when you are frightened, excited, or angry"
Adrift,uncontrolled floating on water 
Adroit,clever or skillful
Adscititious,additional or external; coming from an outside source
Adulation,"great praise for someone, often more than what is deserved"
Adulterate,to make a substance less pure by adding something else to it
Adultery,sexual activity between a married person and someone other than their spouse
Adulthood,the state or condition of being fully grown or mature
Adumbrate,to create an outline or a faint shadow 
Advance,before; ahead of time
Advanced,progressive; complex or of a higher order
Advantage,a condition or circumstance that gives someone a greater chance of success
Advantageous,helpful or useful and likely to make you more successful
Advent,the coming or arrival of something
Adventitious,not natural; foreign
Adventure,an exciting or dangerous experience
Adventuresome,adventurous or prone to going on adventures
Adventurous,daring; brave
Adversary,"one's opponent in a contest, conflict, or dispute"
Adverse,"negative, harmful, or unpleasant"
Adversely,in a negative or bad way
Adversity,a difficult situation or condition; misfortune
Advert,an advertisement
Advertise,to provide information about a person or goods and services to influence others 
Advice,"an opinion recommended or offered, as worthy to be followed; counsel"
Advisable,worthy of being recommended; desirable
Advise,to offer suggestions to a person or group
Advisement,advice that is both carefully considered and thought out before given
Advisory,an official announcement that usually serves as a warning to the public
Advocacy,the practice of supporting someone to make their voice heard 
Advocate,to publicly support a particular policy or way of doing things
Aegis,"under the influence or protection of a specific individual, body, or government"
Aerate,to cause air to circulate through something
Aerial,happening in the air
Aerie,a nest built in a high place by a predatory bird 
Aerobic,activity used to strengthen the heart and lungs by making them work hard for several minutes
Aerodynamics,the study of air and how it works when an object moves through it
Aeronautics,the science of flight
Aerosol,substances confined under pressure and typically released in the form of a spray
Aerospace,"the atmosphere of the Earth and the region of space around it; the industry concerned with aircraft, missiles, satellites and spacecraft"
Aesthete,"one who strongly appreciates beauty, art and music"
Aesthetic,concerning or characterized by an appreciation of beauty or good taste
Afar,in a distant area
Afebrile,having no fever
Affable,"friendly, good-natured, or easy to talk to"
Affair,an issue or concern that is handled
Affect,to change or influence
Affectation,an unnatural form of behavior that is meant to impress others
Affection,a feeling of love or strong attachment
Affectionate,loving
Affidavit ,a statement made under oath that is verified by a person of authority
Affiliated,formally associated with a group or organization
Affiliation,the involvement or connection that somebody has with a religious or political organization
Affinity,a natural liking or attraction for someone or something
Affirm,to publicly verify something
Affirmation,an action of approval or support
Affix,"to stick, attach, or fasten"
Afflatus,a skill or gift that seems to be given by a God or higher power
Afflicted,"stricken, distressed, or impaired"
Affliction,"a state of pain, suffering, distress or agony"
Affluence,a situation in which one has a great amount of wealth
Affluent,"wealthy, rich"
Afford,have enough money to pay for something
Affray,a disruptive fight
Affright,fright; fear 
Affront,to do or say something that shows a lack of respect 
Aficionado,an expert or enthusiast who is extremely knowledgeable about a subject or activity
Afield,far away from their comfortable environment
Afloat,floating or balancing on top of liquid
Afoot ,in action
Aforementioned,regarding someone or something spoken about previously
Aforesaid,previously mentioned
Afraid,scared or frightened
Aftermath,the aftereffects or consequences of an unpleasant or destructive event
Afterthought,something you think of or mention later because it was not included beforehand
Afterwards,following; after a previous event
Against,anti; not in favor of
Agape,open
Age,the amount of time someone or something has been living
Agency,"a business, usually government related, that provides a particular service"
Agenda,a list of matters to be discussed at a meeting
Agent,a person who acts on behalf of an individual or some other group
Agglomeration,a collection or mass of things
Aggrandize,"make great or greater in power, rank, honor, or wealth; increase"
Aggrandizement,"an increase in power, importance, or reputation that is undeserved"
Aggravate,"to make worse, or more severe"
Aggregate,to place into a category or cluster
Aggregator,someone or something that gathers together materials from a variety of sources and combines them into one
Aggression,violent and hostile behavior
Aggressive,pushy or forceful when trying to get others to believe or do something
Aggressor,the person or country that first attacks or makes an aggression
Aggrieve,to badly mistreat/make upset
Aggrieved,angry or resentful due to unjust treatment
Aghast,shocked or surprised in an upsetting way
Agile,able to move fast and easily
Agility,"nimbleness and quickness of motion, both physically and figuratively"
Agitate,to disturb or upset
Agitated,upset; disturbed
Agitation,a stirring up or arousing; disturbance of tranquility 
Agitprop,something that looks like art but is actually political propaganda or misinformation
Agnostic,unsure about the existence of a god or holy being
Agnostic,someone who believes there is no way to know if God does or does not exist
Agnostic,a person who knows there is no way to know if God exists or not
Agog,filled with anticipation and excitement
Agonize,to endure a great deal of distress
Agonizing,distressing; painful
Agony,intense pain or suffering
Agoraphobia,"the fear of wide open spaces, crowds, or uncontrolled social conditions"
Agrarian,associated with land cultivation
Agree,to say yes or give consent
Agreeable,nice and good; pleasant
Agreement,a contract or deal
Agribusiness,any business that has to do with agriculture and supplies associated with farming
Agriculture,the discipline of farming
Agronomy,science of soil management and crop production
Ague,"a fever that causes you to shake, sweat and feel cold"
Aha moment,a moment of sudden insight
Ahead,to move forward from current placement
Ahem,"an utterance similar to the sound of clearing one's throat, used to attract attention or fill in a pause"
Aid,to back or help someone or something so they are successful
Ail,"a trouble, symptom, or affliction"
Ailing ,not feeling well
Ailment,a condition that affects a person’s mental or physical wellbeing
Ailurophile,a person who loves cats
Aim,to point something in a certain direction
Aimlessly,"without an aim, purpose or direction"
Air,the invisible mixture of gases that covers the earth
Aisle,a clear path between rows of seating
Ajar,slightly opened
Akimbo,with the hand on the hip and elbow turned outward
Akin,similar in nature
Alabaster,"a smooth, white, and often translucent hard material that is typically carved"
Alacritous,being eager and willing
Alacrity,Cheerful willingness and eagerness
Alas,disappointingly; unfortunately
Albatross,a species of large seafaring bird that is found mostly in the south Pacific
Albeit,even though; although
Albinism,"an inherited condition that one is born with that involves lack of color in the pigment that colors hair, skin, and eyes"
Alchemist,a person who practiced a medieval form of chemistry that dealt with metal transformations
Alchemy,a kind of chemistry that is associated with changing something ordinary into something extraordinary
Alcove,a small area that is secluded from a large space
Aleatory,"random, dependent on luck or chance"
Alert,to strongly make someone or something aware of trouble or something dangerous that is about to occur
Alfresco,"outdoors, open to the atmosphere"
Algae,an organism often found on or in bodies of water that resembles a plant or moss and uses photosynthesis to supply oxygen
Algorithm,set of instructions
Alias,an alternate name used by a person who wishes to keep his or her identity secret
Alibi,a reason or excuse why someone could not have done something
Alien,different from the norm or what is considered to be acceptable
Alienate,to make an individual feel unwanted or removed from a group or relationship 
Alight,to descend from something 
Align,line up; straighten
Alignment,positioning of things so that they are in a straight line
Alike,similar in a certain way
Aliment,a minor illness or sickness
Alimentary,"of, or relating to food, nutrition or digestion"
Alimony,payment paid to one’s former spouse to support their living
Alive,"living, not dead"
All the While,in reference to something that happens continuously
All the while,for that whole period of time; happening continually during that time
All-around,versatile; able to do many things
Allay,to make quiet or calm
Allegation,"a claim or a statement saying someone has done something illegal or wrong, which is not necessarily based on facts"
Allege,to claim without evidence
Alleged,questionable; not confirmed
Allegedly,suspected of participating in something immoral or illegal 
Allegiance,"loyalty to some cause, nation or ruler"
Allegory ,a representation or story in which personalities and incidents act as symbols depicting beliefs related to human beings or specific situations
Allele,an alternative pattern of a gene that results in a variation of a trait
Alleviate,"to make something less painful, severe, or serious"
Alley,a narrow passageway
Alliance,an association between parties or states with similar interests
Allies,friends or supporters; those who can be trusted
Alliteration,the recurrence of consonants at the start of two or more terms 
Allocate,to give out according to a system
Allocation,an amount of something that is given out or shared
Allocution,a speech given to a convicted defendant by the judge just prior to sentencing
Allot ,to give out proportionately
Allotment,one share of something that has been given out in portions
Allow,to permit or let something happen
Allowance,a share or portion of something that is granted by another person
Allowed,permitted or let something happen
Allowed,let or permitted someone to do something
Alloy,a mixed metal made by combining two or more others that is usually stronger than pure metals
Allude,to make an indirect reference
Allure,a quality that produces attraction
Allusion,a statement that refers to something indirectly; an indirect reference
Allusion,a figure of speech that is used in literature to make an indirect reference to something
Allusive,"implying, hinting or indirectly suggesting something"
Alluvial,"related to alluvium, a deposit of clay, silt, and gravel left by a flowing river in a delta"
Ally,a friend; someone who is ready to help you
Alma mater,the school or college that one attended
Almanac,an annual calendar with important events and astronomical data
Almighty,omnipotent or having complete power
Almost,very nearly but not exactly or entirely
Alms,items which are given to the needy
Aloft,in the air or sky
Alone,having no one else present; on one's own
Along,beside or by-the-side of something else
Alongside,along the side; by the side; side by side with
Aloof,removed or distant either physically or emotionally
Alpine,part of a high mountain
Already,at present; even now
Alter ego,"an alternative personality, identity, or mannerism"
Alter,to change in some way
Alteration,the condition of being changed
Altercation,a loud and heated disagreement 
Alternate,when one thing comes after another; fluctuate
Alternative,alternative means another possibility that is available
Altimeter,an instrument used in an aircraft to measure altitude/the distance above sea or land
Altitude,the height of something above sea level or the earth's surface
Altitudinous,being at or having a very high level of elevation
Altruist,regard for others without regard for oneself; devotion
Altruistic,sincerely concerned about the well being of others
Alum,a chemical substance containing aluminum used in dye things or to make the skin tighter
Alumna,a female graduate of a school or university
Alumnus,"an individual who graduated from or took classes at a specific university, school, or college "
Alveoli,sacs in the lungs which gather and filter oxygen
Amalgam,a mixture of unlike items
Amalgamate,to join or combine
Amalgamation,the process of combining two or more companies 
Amanuensis,a secretary whose job is to write or type what someone else is saying
Amass,to bring together a large amount
Amateur,person who engages in a particular activity without pursuing it professionally
Amatory,associated with expressing erotic or sexual love
Amaze,"to fill with surprise, astonish"
Amazed,shocked; stunned
Amazement,the condition of being surprised or overcome by wonder 
Amazing,impressive; incredible
Ambassador ,a diplomat of the highest rank who acts as a spokesperson for his country while residing in another nation 
Amber,a yellowy-tan color 
Ambiance,the mood in a place
Ambidextrous,"having equal ability in both hands; in particular, able to write equally well with both hands"
Ambient ,producing a mood or effect by being present 
Ambiguity,something that does not have a clear meaning
Ambiguous,confusing; difficult to understand
Ambition,a desire to accomplish (complete) a task
Ambitious,strongly desirous and determined to succeed
Ambivalence,mixed feelings or emotions
Ambivalent,uncertain as to which path to take
Amble,to stroll in a relaxed manner
Ambrosial,appealing to one’s sense of smell or taste 
Ambulatory ,capable of moving around physically
Ambuscade,a deadly strike
Ambush,the act of concealing oneself and lying in wait to attack by surprise
Ameliorate,to make better
Ameliorate,to make something better or more manageable
Amenable,willing to comply or cooperate
Amend,to make better
Amendment,a change or alteration
Amends,to fix a mistake that you made or to make a bad situation better; to make right
Amenity,a thing or condition that makes an event or life more enjoyable
Amiable,being nice; displaying a friendly and pleasant manner
Amicable,showing a polite and friendly desire to avoid disagreement and argument
Amid,in the middle of; surrounded by
Amidst,in the middle or mist of
Amiss,improper; wrong
Amity,a supportive relationship between people or countries
Amnesia,loss of memory; forgetfulness
Amnesty,a formal pardon or reprieve given to one who has committed a criminal or political offense 
Amoeba,a single-celled animal which catches food and moves about by extending finger-like projections
Amok,a desire or passion to attack or murder
Amongst,surrounded by; In the company of
Amoral ,not concerned about what is moral or immoral
Amorous,having or showing strong feelings of sexual attraction or love
Amorphous,having no clear shape or form
Amortization,the process of determining the cost of something intangible over time
Amortize,to the amount of a loan or debt by paying small payments over time
Amount,the total number or quantity
Amour,a secret lover
Amphibious,capable of functioning on land or in water
Amphitheater,"an open-air theatre used for entertainment, performances, and sports"
Ample ,an abundant amount
Amplify,"to render larger, more extended, or more intense"
Amplitude,"the measure of something's size, especially in terms of width or breadth; largeness, magnitude"
Amulet,a necklace with an ornament to ward off harm
Amusement,fun or entertainment
Amusing,adding humor or fun to something
Anachronism,"something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone"
Anaerobic ,existing without oxygen
Anagram,a word formed from the rearranged letters of another word
Analogous,similar
Analogy,a comparison to show similarity between two things
Analyses ,the plural form of analysis that represents the breaking down of larger elements into their smaller features
Analysis,the breaking down of something complex into smaller elements so it can be evaluated
Analyst,a qualified person who can decipher data 
Analytical,involving the approach of separating a larger item into smaller parts for ease of reviewing
Analyze,to review thoroughly and in a logical manner
Anaphase,the stage in mitosis in which the cell starts to lengthen and the two members of each chromosome pair separate and move toward opposite poles
Anaphora,repetition of a phrase used for emphasis
Anarchist,a person who acts against the orders of a ruling body
Anarchy,chaos resulting from a lack of order or authority
Anathema,something or someone that one strongly dislikes; someone who is cursed or shunned
Anatomical,structural; bodily
Anatomy,the review of a plant or animal’s structure
Ancestor,a member of your family who lived a long time ago
Ancestor,family relative or thing that existed long ago
Ancestral,referring to the family’s predecessors
Anchor,a person or mainstay that can be relied on for support or security
Ancient,referring to something that is extremely old or something that happened long ago
Ancillary,"in addition to the main unit, worker, or task"
Andragogy,the practice of teaching adult learners
Androgynous,partly female and partly male in appearance
Anecdotal,"not necessarily true or dependable, because based on someone's personal experience and not on facts or research"
Anecdote,"a brief, often funny, telling of something that happened "
Anecdote,an interesting or amusing short story
Anemia,"a medical condition in which your blood does not transport enough oxygen to the rest of your body, either because of too few red blood cells, or because of too little hemoglobin"
Anemic,exhausted; weak
Anesthetize,to give a person or animal medication that will put them in an unconscious or comatose state 
Aneurysm,an abnormal blood-filled bulge of a blood vessel and especially an artery resulting from weakening as from disease of the vessel wall 
Anew,to take place once more
Anfractuous,having many winding twists and turns
Angelic,pure and innocent like an angel
Anger,"a strong feeling of being annoyed, irritated, or hostile"
Angrily,with rage
Angry,having a strong feeling of being upset or annoyed
Angst,a mood associated with intense worry and unhappiness
Anguish,extreme suffering or grief
Angular,so thin or skinny that one’s bones can be seen 
Anhedonia,the physical and mental inability to get feelings of pleasure from typically enjoyable activities
Anhydrous,describes a substance that has no water
Animadversion,a judgmental remark or criticism
Animal,"a living, breathing organism"
Animate,to become enlivened and stimulated
Animated,active and energetic
Animation,the technique causing images to appear to move 
Animism,a belief that natural objects have spirits
Animosity,a strong feeling of disliking someone or something
Animus,an intense feeling of loathing or disgust; hatred
Annals,a record of historical events (in chronological order)
Anneal,to heat and slow cool metal or glass in order to toughen it
Annex ,a new part of a building or dwelling
Annexation,"the official action of securing something by taking it over, often relating to land"
Annihilate,"to destroy, to eradicate"
Anniversary,the date on which an even took place the year before
Annotate,to add notes to a text or diagram in order to provide additional insight and understanding about something
Annotation,a note or comment added to a document or book
Announce,to give out news in a public way
Announcement,a public statement or report that gives information to those listening or viewing
Annoy,to irritate or bother someone to the point of aggravation
Annoyance,irritation; nuisance
Annual,happening once a year
Annuity,an allotment of money paid from an insurance company either in a full payment or in installments usually for retirement purposes
Annul,to officially make something invalid 
Anodyne ,something used to comfort or relieve pain
Anomalous,"unordinary, unusual, or distinctly different from the norm"
Anomaly,something unusual or unexpected
Anomie,social instability caused by erosion of standards and values 
Anon,in a short time; soon
Anonymity,the condition of having one’s identity unknown
Anonymous,not named
Answer,to give a response
Antagonism,strong dislike
Antagonist,a challenger or foe
Antagonistic,showing or feeling aggression or hostility towards something
Antagonize,to trigger hostility or anger
Ante,to make an investment in money before knowing one’s chances 
Antebellum ,during the time before the American Civil War
Antecedent,something that came before something else and may have influenced or caused it
Antedate,to occur before something else
Antediluvian,greatly out of date
Antemeridian,in the morning or before noon
Anterior,nearer the front
Anteroom,a small waiting area that leads into a bigger room
Anthem,"a song that is said to represent the masses, whether it be cultural or social"
Anthology,a collection of writings
Anthropoid,"having characteristics of a human being, usually in terms of shape or appearance"
Anthropologist,an individual who studies the development of human beings
Anthropology,the study of the origin of mankind
Anthropomorphic,having attributes of humans
Anthropomorphism,giving human traits to objects and living creatures that are not human
Anti-Semitism ,hostility towards Jewish people because of their religion and/or ethnicity
Anti,opposed to or against
Antibiotic,any substance that can destroy or inhibit the growth of bacteria and similar microorganisms
Antibody,a blood protein your body creates to fight disease
Anticipate ,ready for something to occur 
Anticipation,the condition of being excited about something that is going to occur
Anticipatory,happening or performed in anticipation of something
Anticlimactic,"lacking climax, disappointing or ironically insignificant following of impressive foreshadowing"
Anticlimax,a shift from an exciting event to a disappointing event
Antics,silly or outrageous conduct
Antidote,a substance to counteract a poison
Antigen,a toxin or foreign substance that causes the body to produce antibodies
Antinomy,an apparent contradiction between valid conclusions
Antipathy,a feeling of dislike
Antipodes,a nickname for Australia and New Zealand
Antiquated,dated; from the past
Antique,"an old piece of furniture, household item, or other similar item"
Antiquity,an out of date period
Antiseptic,very clean and free of disease-causing organisms
Antisocial,unwilling or unable to associate normally with other people
Antithesis,the total opposite of an object or person
Antithetical ,in direct contrast to an idea; in opposition of 
Antitrust,"a law against trusts and monopolies, designed to promote competition in business"
Antonym,a word that means the opposite of another word in the same language
Anxiety,an uncomfortable feeling of worry or nervousness
Anxious,worried or concerned
Anyway,anyhow; nevertheless
Apart,to be separated by a typically considerable distance
Apartheid,discriminatory policy of racial separation used by South Africa
Apathetic,having little or no interest or concern
Apathy,a feeling of having no interest in or enthusiasm
Apathy,a feeling of having no interest in or enthusiasm about anything
Aperture,a gap such as a hole or cavity
Apex,the greatest or topmost position
Aphorism,a brief and witty saying
Aphotic,a region of water that is so deep that it does not receive sunlight
Aphrodisiac,something that produces or enhances desire of a sexual nature
Apiary,a place where bees and hives are kept 
Apical,"top, important, best, highest"
Aplomb,"confidence and skill shown, especially in a difficult situation; keeping your cool"
Apocalypse,a huge catastrophe that causes devastating destruction and loss
Apocryphal,well-known but probably not true
Apodictic,unquestionably true or certain
Apogee,the highest point
Apologetic,remorseful; sorry for committing a wrong
Apologize,to express regret for one’s actions; to say that you are sorry
Apology,an expression of regret; remorse 
Apoplectic,incredibly angry
Apoplexy,the inability to speak or perform as a result of an intense emotion or serious medical condition
Apostasy,the act of renouncing one’s religious beliefs
Apostate,an individual who has rejected his faith or religious convictions
Apothecary,a person who makes and provides/sells drugs and/or medicines
Apothegm,"a short, witty, instructive saying"
Apotheosis,perfect example of something or the best point in one's life or job
Appalled,struck with horror
Appalling,very bad
Apparatus,"the tools, equipment, and machinery you use for particular purposes"
Apparel,clothing
Apparent,clearly visible or understood; obvious
Apparition,a ghostly appearing figure
Appeal,to make a request for
Appealing,tempting; alluring
Appear,to become visible; to come into sight
Appearance,what something looks like
Appease,to make (someone) pleased or less angry by giving or saying something desired
Appeasement,to calm or persuade into an agreement usually in the angry party’s favor
Appellation,a term or title by which a person or thing is identified
Append,attach; affix
Appendage,a limb or other extremity that stick outs from the upper or lower portion of a body
Appendix,the last part of a book or essay where extra information pertaining to the topic is included; sometimes with a graphic aid
Appertain ,to be linked to or associated with
Appetence,the state or action of desiring or craving
Appetite,a strong desire for something
Appetizing,"appealing or attractive, typically in reference to food"
Applaud,to congratulate by clapping
